date,date_id,year,month,month_name,quarter,day,day_name,week,is_weekend
2017-09-20 17:12:34,20170920,2017,9,September,3,20,Wednesday,38,0
2017-09-21 22:33:55,20170921,2017,9,September,3,21,Thursday,38,0
2017-09-22 19:17:04,20170922,2017,9,September,3,22,Friday,38,0
2017-09-23 16:40:09,20170923,2017,9,September,3,23,Saturday,38,1
2017-09-24 20:25:49,20170924,2017,9,September,3,24,Sunday,38,1
2017-09-25 09:48:34,20170925,2017,9,September,3,25,Monday,39,0
2017-09-26 12:32:39,20170926,2017,9,September,3,26,Tuesday,39,0
2017-09-27 12:07:22,20170927,2017,9,September,3,27,Wednesday,39,0
2017-09-28 08:54:23,20170928,2017,9,September,3,28,Thursday,39,0
2017-09-29 09:32:17,20170929,2017,9,September,3,29,Friday,39,0
2017-09-30 19:19:56,20170930,2017,9,September,3,30,Saturday,39,1
2017-10-01 10:11:40,20171001,2017,10,October,4,1,Sunday,39,1
2017-10-02 10:56:33,20171002,2017,10,October,4,2,Monday,40,0
2017-10-03 09:08:42,20171003,2017,10,October,4,3,Tuesday,40,0
2017-10-04 23:02:21,20171004,2017,10,October,4,4,Wednesday,40,0
2017-10-05 05:23:47,20171005,2017,10,October,4,5,Thursday,40,0
2017-10-06 18:22:19,20171006,2017,10,October,4,6,Friday,40,0
2017-10-07 20:37:26,20171007,2017,10,October,4,7,Saturday,40,1
2017-10-08 14:53:58,20171008,2017,10,October,4,8,Sunday,40,1
2017-10-09 19:42:43,20171009,2017,10,October,4,9,Monday,41,0
2017-10-10 23:51:07,20171010,2017,10,October,4,10,Tuesday,41,0
2017-10-11 17:31:49,20171011,2017,10,October,4,11,Wednesday,41,0
2017-10-12 23:11:44,20171012,2017,10,October,4,12,Thursday,41,0
2017-10-13 10:15:28,20171013,2017,10,October,4,13,Friday,41,0
2017-10-14 19:33:54,20171014,2017,10,October,4,14,Saturday,41,1
2017-10-15 01:57:18,20171015,2017,10,October,4,15,Sunday,41,1
2017-10-16 14:56:50,20171016,2017,10,October,4,16,Monday,42,0
2017-10-17 18:22:05,20171017,2017,10,October,4,17,Tuesday,42,0
2017-10-18 16:44:45,20171018,2017,10,October,4,18,Wednesday,42,0
2017-10-19 15:08:48,20171019,2017,10,October,4,19,Thursday,42,0
2017-10-20 14:00:10,20171020,2017,10,October,4,20,Friday,42,0
2017-10-21 16:31:37,20171021,2017,10,October,4,21,Saturday,42,1
2017-10-22 14:25:40,20171022,2017,10,October,4,22,Sunday,42,1
2017-10-23 23:35:39,20171023,2017,10,October,4,23,Monday,43,0
